timestamp,building,energy_kwh,solar_kwh,occupancy,max_capacity_kw
2026-02-01 00:00:00,Academic Block A,310.91,0.0,0.77,450
2026-02-01 00:00:00,Academic Block B,353.31,0.0,0.8,450
2026-02-01 00:00:00,Engineering Labs,294.51,0.0,0.66,500
2026-02-01 00:00:00,Student Center,310.47,0.0,0.94,350
2026-02-01 00:00:00,Library Complex,180.84,0.0,0.63,300
2026-02-01 00:00:00,Hostel Blocks,331.15,0.0,0.63,600
2026-02-01 01:00:00,Academic Block A,259.93,0.0,0.74,450
2026-02-01 01:00:00,Academic Block B,167.47,0.0,0.44,450
2026-02-01 01:00:00,Engineering Labs,252.92,0.0,0.55,500
2026-02-01 01:00:00,Student Center,149.35,0.0,0.56,350
2026-02-01 01:00:00,Library Complex,243.84,0.0,0.92,300
2026-02-01 01:00:00,Hostel Blocks,354.97,0.0,0.71,600
2026-02-01 02:00:00,Academic Block A,252.65,0.0,0.62,450
2026-02-01 02:00:00,Academic Block B,221.09,0.0,0.53,450
2026-02-01 02:00:00,Engineering Labs,268.62,0.0,0.61,500
2026-02-01 02:00:00,Student Center,229.11,0.0,0.61,350
2026-02-01 02:00:00,Library Complex,167.3,0.0,0.7,300
2026-02-01 02:00:00,Hostel Blocks,420.21,0.0,0.82,600
2026-02-01 03:00:00,Academic Block A,257.0,0.0,0.73,450
2026-02-01 03:00:00,Academic Block B,206.75,0.0,0.5,450
2026-02-01 03:00:00,Engineering Labs,368.27,0.0,0.81,500
2026-02-01 03:00:00,Student Center,209.01,0.0,0.68,350
2026-02-01 03:00:00,Library Complex,114.72,0.0,0.48,300
2026-02-01 03:00:00,Hostel Blocks,361.83,0.0,0.63,600
2026-02-01 04:00:00,Academic Block A,269.11,0.0,0.75,450
2026-02-01 04:00:00,Academic Block B,295.49,0.0,0.75,450
2026-02-01 04:00:00,Engineering Labs,281.54,0.0,0.6,500
2026-02-01 04:00:00,Student Center,287.84,0.0,0.85,350
2026-02-01 04:00:00,Library Complex,148.83,0.0,0.57,300
2026-02-01 04:00:00,Hostel Blocks,424.34,0.0,0.75,600
2026-02-01 05:00:00,Academic Block A,250.68,0.0,0.63,450
2026-02-01 05:00:00,Academic Block B,192.37,0.0,0.53,450
2026-02-01 05:00:00,Engineering Labs,396.97,0.0,0.82,500
2026-02-01 05:00:00,Student Center,237.17,0.0,0.69,350
2026-02-01 05:00:00,Library Complex,190.74,0.0,0.75,300
2026-02-01 05:00:00,Hostel Blocks,438.03,0.0,0.75,600
2026-02-01 06:00:00,Academic Block A,312.62,0.0,0.69,450
2026-02-01 06:00:00,Academic Block B,140.79,0.0,0.31,450
2026-02-01 06:00:00,Engineering Labs,314.9,0.0,0.71,500
2026-02-01 06:00:00,Student Center,185.08,0.0,0.71,350
2026-02-01 06:00:00,Library Complex,187.25,0.0,0.67,300
2026-02-01 06:00:00,Hostel Blocks,487.34,0.0,0.92,600
2026-02-01 07:00:00,Academic Block A,224.35,0.0,0.58,450
2026-02-01 07:00:00,Academic Block B,345.69,0.0,0.84,450
2026-02-01 07:00:00,Engineering Labs,289.51,0.0,0.62,500
2026-02-01 07:00:00,Student Center,244.46,0.0,0.71,350
2026-02-01 07:00:00,Library Complex,154.01,0.0,0.59,300
2026-02-01 07:00:00,Hostel Blocks,316.97,0.0,0.64,600
2026-02-01 08:00:00,Academic Block A,306.71,201.74,0.74,450
2026-02-01 08:00:00,Academic Block B,129.11,255.53,0.3,450
2026-02-01 08:00:00,Engineering Labs,275.82,435.73,0.65,500
2026-02-01 08:00:00,Student Center,190.21,375.75,0.73,350
2026-02-01 08:00:00,Library Complex,197.94,440.61,0.74,300
2026-02-01 08:00:00,Hostel Blocks,343.03,275.22,0.7,600
2026-02-01 09:00:00,Academic Block A,336.42,212.87,0.71,450
2026-02-01 09:00:00,Academic Block B,307.34,259.89,0.77,450
2026-02-01 09:00:00,Engineering Labs,289.28,446.41,0.69,500
2026-02-01 09:00:00,Student Center,233.76,390.4,0.82,350
2026-02-01 09:00:00,Library Complex,202.85,291.95,0.82,300
2026-02-01 09:00:00,Hostel Blocks,519.67,333.94,0.91,600
2026-02-01 10:00:00,Academic Block A,212.0,210.19,0.55,450
2026-02-01 10:00:00,Academic Block B,404.65,204.15,0.96,450
2026-02-01 10:00:00,Engineering Labs,211.7,361.29,0.47,500
2026-02-01 10:00:00,Student Center,227.55,296.68,0.78,350
2026-02-01 10:00:00,Library Complex,150.84,431.17,0.58,300
2026-02-01 10:00:00,Hostel Blocks,360.23,365.0,0.65,600
2026-02-01 11:00:00,Academic Block A,422.57,332.41,0.73,450
2026-02-01 11:00:00,Academic Block B,347.6,424.3,0.65,450
2026-02-01 11:00:00,Engineering Labs,459.03,284.76,0.74,500
2026-02-01 11:00:00,Student Center,358.52,424.28,0.89,350
2026-02-01 11:00:00,Library Complex,272.46,360.51,0.74,300
2026-02-01 11:00:00,Hostel Blocks,545.39,202.3,0.73,600
2026-02-01 12:00:00,Academic Block A,387.45,201.27,0.74,450
2026-02-01 12:00:00,Academic Block B,367.82,372.97,0.73,450
2026-02-01 12:00:00,Engineering Labs,325.91,378.04,0.52,500
2026-02-01 12:00:00,Student Center,224.07,386.62,0.59,350
2026-02-01 12:00:00,Library Complex,312.28,364.4,0.84,300
2026-02-01 12:00:00,Hostel Blocks,413.21,291.93,0.57,600
2026-02-01 13:00:00,Academic Block A,289.63,443.25,0.57,450
2026-02-01 13:00:00,Academic Block B,444.38,357.78,0.83,450
2026-02-01 13:00:00,Engineering Labs,450.24,344.23,0.7,500
2026-02-01 13:00:00,Student Center,204.71,380.61,0.49,350
2026-02-01 13:00:00,Library Complex,203.82,435.11,0.54,300
2026-02-01 13:00:00,Hostel Blocks,505.4,441.66,0.68,600
2026-02-01 14:00:00,Academic Block A,279.11,412.78,0.57,450
2026-02-01 14:00:00,Academic Block B,292.73,339.2,0.56,450
2026-02-01 14:00:00,Engineering Labs,443.29,342.52,0.73,500
2026-02-01 14:00:00,Student Center,292.37,447.51,0.73,350
2026-02-01 14:00:00,Library Complex,232.28,419.34,0.71,300
2026-02-01 14:00:00,Hostel Blocks,619.55,375.62,0.83,600
2026-02-01 15:00:00,Academic Block A,247.65,402.34,0.49,450
2026-02-01 15:00:00,Academic Block B,407.8,428.31,0.75,450
2026-02-01 15:00:00,Engineering Labs,543.41,399.57,0.78,500
2026-02-01 15:00:00,Student Center,397.61,398.95,0.9,350
2026-02-01 15:00:00,Library Complex,250.15,293.9,0.65,300
2026-02-01 15:00:00,Hostel Blocks,504.7,208.99,0.72,600
2026-02-01 16:00:00,Academic Block A,502.65,271.64,1.0,450
2026-02-01 16:00:00,Academic Block B,346.03,209.34,0.64,450
2026-02-01 16:00:00,Engineering Labs,399.31,231.77,0.63,500
2026-02-01 16:00:00,Student Center,394.87,253.96,0.93,350
2026-02-01 16:00:00,Library Complex,216.89,212.92,0.59,300
2026-02-01 16:00:00,Hostel Blocks,756.87,359.36,1.0,600
2026-02-01 17:00:00,Academic Block A,217.69,0.0,0.4,450
2026-02-01 17:00:00,Academic Block B,341.44,0.0,0.6,450
2026-02-01 17:00:00,Engineering Labs,346.38,0.0,0.58,500
2026-02-01 17:00:00,Student Center,343.13,0.0,0.78,350
2026-02-01 17:00:00,Library Complex,180.49,0.0,0.52,300
2026-02-01 17:00:00,Hostel Blocks,439.64,0.0,0.63,600
2026-02-01 18:00:00,Academic Block A,398.85,0.0,0.96,450
2026-02-01 18:00:00,Academic Block B,225.26,0.0,0.51,450
2026-02-01 18:00:00,Engineering Labs,470.65,0.0,1.0,500
2026-02-01 18:00:00,Student Center,139.03,0.0,0.47,350
2026-02-01 18:00:00,Library Complex,226.16,0.0,0.89,300
2026-02-01 18:00:00,Hostel Blocks,429.44,0.0,0.77,600
2026-02-01 19:00:00,Academic Block A,226.0,0.0,0.56,450
2026-02-01 19:00:00,Academic Block B,101.01,0.0,0.3,450
2026-02-01 19:00:00,Engineering Labs,273.0,0.0,0.66,500
2026-02-01 19:00:00,Student Center,269.03,0.0,0.94,350
2026-02-01 19:00:00,Library Complex,173.79,0.0,0.63,300
2026-02-01 19:00:00,Hostel Blocks,466.03,0.0,0.92,600
